3567230,42.029712,-87.679817,239000.0,2013,2.0,1,1994,1990,NONE,1010.0,6054.5,Chicago,Evanston,Evanston Twp High School,224299.19042920263
3953685,41.772759,-87.710036,134900.0,2014,2.0,4,1905,1900,NONE,1224.0,6679.0,Chicago,Chicago,Hubbard High School,148248.26748308705
4524644,41.805006,-88.065247,399900.0,2014,3.0,4,1990,1990,NONE,2450.0,9771.5,Chicago,Lisle,Lisle High School,399207.7071605035
4778473,42.37046,-88.077728,99900.0,2013,2.0,3,1937,1930,1968,1228.0,6969.0,Chicago,Round Lake Beach,Grayslake North High School,110121.32586299794
55686716,41.52695,-87.853414,305000.0,2014,2.5,4,2001,2000,2013,2100.0,12196.0,Chicago,Mokena,Lincoln-Way East High School,287561.9941084932
68150412,42.389534,-88.095304,278500.0,2014,3.5,4,2004,2000,NONE,3320.0,12665.0,Chicago,Lake Villa,Grant Community High School,278011.7364279675
101399305,41.884849,-87.62751,435000.0,2013,2.0,2,NA,UNKNOWN,NONE,1446.0,6969.5,Chicago,Chicago,Phillips Academy High School,434719.26877796516
30705582,40.615825,-73.998845,699000.0,2014,1.0,2,1925,1920,NONE,2244.0,1799.0,New York City,New York,Queens High School Of Teaching Liberal Arts And Sc,661143.3376469022
31413254,40.631586,-73.577019,274000.0,2014,1.0,2,1954,1950,NONE,848.0,5000.0,New York City,Freeport,NONE,248716.59789825146
32337038,40.56852,-74.11864,549000.0,2013,3.0,4,1950,1950,NONE,1674.0,7187.0,New York City,New York,Queens High School Of Teaching Liberal Arts And Sc,532472.1351272909
38742881,40.833617,-74.310673,529000.0,2014,1.0,3,1955,1950,2008,1863.0,13939.0,New York City,West Caldwell,NONE,466867.54962410725
38892089,40.738371,-74.056061,299000.0,2013,1.0,3,NA,UNKNOWN,NONE,1237.0,6859.5,New York City,Jersey City,Liberty High School,302454.1857093288
39300680,40.258568,-74.378606,450000.0,2014,2.5,4,NA,UNKNOWN,NONE,2151.5,5488.0,New York City,Manalapan,Manalapan High School,426376.2519149781
39674196,39.940004,-74.356195,117900.0,2013,2.0,2,1994,1990,NONE,1642.0,6032.5,New York City,Manchester,NONE,139372.3212067906
39989381,40.645932,-74.211819,279900.0,2014,4.0,5,NA,UNKNOWN,NONE,2824.0,3484.0,New York City,Elizabeth,Elizabeth High School,303994.68776030303
63733308,40.913876,-74.320558,315000.0,2014,2.5,2,1984,1980,2011,1628.0,696.0,New York City,Lincoln Park,NONE,296494.28782096395
72528630,40.767467,-73.959762,925000.0,2013,2.0,2,1951,1950,NONE,1377.5,6969.0,New York City,New York,Queens High School Of Teaching Liberal Arts And Sc,923501.4588442099
89076854,41.045204,-72.170825,895000.0,2014,4.0,5,NA,UNKNOWN,NONE,3100.0,16978.7352,New York City,East Hampton,NONE,859980.1275870227
20043720,34.147199,-118.36597,849000.0,2013,2.0,3,1936,1930,2008,2057.0,6229.0,Los Angeles,Los Angeles,North Hollywood Senior High School,917301.9550251352
20360936,33.892962,-118.33277,595000.0,2014,2.0,3,1969,1960,NONE,1700.0,8276.0,Los Angeles,Alondra Park,Leuzinger High School,621517.7657382062
20720603,34.099963,-118.10403,495000.0,2014,2.0,2,1941,1940,NONE,1000.0,6446.0,Los Angeles,San Gabriel,Gabrielino High School,483863.68505666056
21047900,33.941167,-118.144665,489000.0,2013,2.0,3,1952,1950,2013,1801.0,6067.0,Los Angeles,Downey,Warren High School,480491.460558405
21478883,33.97765,-117.916986,498888.0,2013,2.0,3,1962,1960,2005,1438.0,9600.0,Los Angeles,Rowland Heights,Rowland Assistive Technology Academy,482263.6948314861
21629384,34.14358,-117.92204,229000.0,2014,1.0,2,1971,1970,NONE,836.0,1000.0,Los Angeles,Azusa,NONE,227340.78062321548
25267836,33.722312,-118.026947,849000.0,2014,3.0,4,1968,1960,NONE,2241.0,5607.0,Los Angeles,Huntington Beach,Marina High School,792854.7679545592
25686151,33.849232,-117.737015,419000.0,2014,2.5,3,1994,1990,NONE,1275.0,5831.0,Los Angeles,Anaheim,Canyon High School,425052.6173938134
51174796,34.21923,-118.614201,360000.0,2014,2.0,3,1961,1960,NONE,1460.0,8880.0,Los Angeles,Los Angeles,Canoga Park Senior High School,400811.5691087641
26603314,33.035368,-96.742393,184900.0,2014,2.0,4,1974,1970,NONE,2340.0,10890.0,Dallas,Plano,Plano Senior High School,187534.04600501686
27020184,32.947905,-96.629437,157500.0,2014,2.0,3,1984,1980,NONE,1663.0,8407.0,Dallas,Garland,Garland High School,143998.9408629361
26871072,32.942675,-96.78359,490073.43,2014,4.5,5,1966,1960,2006,4482.0,15276.58067,Dallas,Dallas,Richardson High School,474156.2837466644
27303380,33.06861,-97.043336,200000.0,2013,2.5,4,1997,1990,NONE,2105.0,6141.0,Dallas,Lewisville,Learning Center,197111.21358254284
29181587,32.885572,-97.247854,110000.0,2013,2.0,3,1983,1980,NONE,1344.0,7819.0,Dallas,Watauga,Central High School,109879.11227565497
55676247,32.892911,-96.438006,185000.0,2014,2.0,4,2002,2000,2002,2507.0,11456.0,Dallas,Rockwall,Rockwall-Heath High School,178209.83692616338
61887415,32.769021,-97.182943,134500.0,2014,2.0,4,2003,2000,NONE,1861.0,5662.0,Dallas,Fort Worth,Eastern Hills High School,127329.93113049
67632877,32.493597,-96.960803,124900.0,2012,2.0,3,2001,2000,NONE,1614.0,7840.0,Dallas,Midlothian,Midlothian High School,122513.87169598957
83750991,33.157707,-96.722807,199900.0,2011,4.0,4,2005,2000,NONE,2547.0,5662.0,Dallas,McKinney,Liberty High School,195553.75473780243
